Date,Time,Ch1:Deg F
09/09/2018,23:25:49,71.290
09/09/2018,23:25:59,71.290
09/09/2018,23:26:09,71.290
09/09/2018,23:26:19,71.290
09/09/2018,23:26:29,71.250
09/09/2018,23:26:39,71.290
09/09/2018,23:26:49,71.290
09/09/2018,23:26:59,71.409
09/09/2018,23:27:09,71.290
09/09/2018,23:27:19,71.290
09/09/2018,23:27:29,71.290
09/09/2018,23:27:39,71.329
09/09/2018,23:27:49,71.290
09/09/2018,23:27:59,71.329
09/09/2018,23:28:09,71.290
09/09/2018,23:28:19,71.250
09/09/2018,23:28:29,71.290
09/09/2018,23:28:39,71.329
09/09/2018,23:28:49,71.290
09/09/2018,23:28:59,71.290
09/09/2018,23:29:09,71.329
09/09/2018,23:29:19,71.290
09/09/2018,23:29:29,71.290
09/09/2018,23:29:39,71.250
09/09/2018,23:29:49,71.250
09/09/2018,23:29:59,71.210
09/09/2018,23:30:09,71.250
09/09/2018,23:30:19,71.329
09/09/2018,23:30:29,71.329
09/09/2018,23:30:39,71.290
09/09/2018,23:30:49,71.290
09/09/2018,23:30:59,71.329
09/09/2018,23:31:09,71.290
09/09/2018,23:31:19,71.329
09/09/2018,23:31:29,71.290
09/09/2018,23:31:39,71.329
09/09/2018,23:31:49,71.329
09/09/2018,23:31:59,71.290
09/09/2018,23:32:09,71.329
09/09/2018,23:32:19,71.250
09/09/2018,23:32:29,71.329
09/09/2018,23:32:39,71.250
09/09/2018,23:32:49,71.210
09/09/2018,23:32:59,71.290
09/09/2018,23:33:09,71.250
09/09/2018,23:33:19,71.290
09/09/2018,23:33:29,71.290
09/09/2018,23:33:39,71.250
09/09/2018,23:33:49,71.290
09/09/2018,23:33:59,71.290
09/09/2018,23:34:09,71.329
09/09/2018,23:34:19,71.290
09/09/2018,23:34:29,71.290
09/09/2018,23:34:39,71.210
09/09/2018,23:34:49,71.290
09/09/2018,23:34:59,71.170
09/09/2018,23:35:09,71.210
09/09/2018,23:35:19,71.250
09/09/2018,23:35:29,71.250
09/09/2018,23:35:39,71.290
09/09/2018,23:35:49,71.250
09/09/2018,23:35:59,71.329
09/09/2018,23:36:09,71.369
09/09/2018,23:36:19,71.290
09/09/2018,23:36:29,71.290
09/09/2018,23:36:39,71.409
09/09/2018,23:36:49,71.369
09/09/2018,23:36:59,71.290
09/09/2018,23:37:09,71.329
09/09/2018,23:37:19,71.250
09/09/2018,23:37:29,71.409
09/09/2018,23:37:39,71.290
09/09/2018,23:37:49,71.290
09/09/2018,23:37:59,71.250
09/09/2018,23:38:09,71.290
09/09/2018,23:38:19,71.250
09/09/2018,23:38:29,71.290
09/09/2018,23:38:39,71.170
09/09/2018,23:38:49,71.290
09/09/2018,23:38:59,71.369
09/09/2018,23:39:09,71.369
09/09/2018,23:39:19,71.250
09/09/2018,23:39:29,71.290
09/09/2018,23:39:39,71.210
09/09/2018,23:39:49,71.290
09/09/2018,23:39:59,71.250
09/09/2018,23:40:09,71.250
09/09/2018,23:40:19,71.250
09/09/2018,23:40:29,71.210
09/09/2018,23:40:39,71.250
09/09/2018,23:40:49,71.329
09/09/2018,23:40:59,71.210
09/09/2018,23:41:09,71.329
09/09/2018,23:41:19,71.250
09/09/2018,23:41:29,71.210
09/09/2018,23:41:39,71.210
09/09/2018,23:41:49,71.290
09/09/2018,23:41:59,71.250
09/09/2018,23:42:09,71.170
09/09/2018,23:42:19,71.329
09/09/2018,23:42:29,71.250
09/09/2018,23:42:39,71.290
09/09/2018,23:42:49,71.329
09/09/2018,23:42:59,71.290
09/09/2018,23:43:09,71.290
09/09/2018,23:43:19,71.329
09/09/2018,23:43:29,71.250
09/09/2018,23:43:39,71.210
09/09/2018,23:43:49,71.250
09/09/2018,23:43:59,71.250
09/09/2018,23:44:09,71.250
09/09/2018,23:44:19,71.290
09/09/2018,23:44:29,71.170
09/09/2018,23:44:39,71.250
09/09/2018,23:44:49,71.250
09/09/2018,23:44:59,71.250
09/09/2018,23:45:09,71.290
09/09/2018,23:45:19,71.329
09/09/2018,23:45:29,71.290
09/09/2018,23:45:39,71.329
09/09/2018,23:45:49,71.329
09/09/2018,23:45:59,71.290
09/09/2018,23:46:09,71.369
09/09/2018,23:46:19,71.290
09/09/2018,23:46:29,71.250
09/09/2018,23:46:39,71.329
09/09/2018,23:46:49,71.409
09/09/2018,23:46:59,71.329
09/09/2018,23:47:09,71.369
09/09/2018,23:47:19,71.250
09/09/2018,23:47:29,71.329
09/09/2018,23:47:39,71.290
09/09/2018,23:47:49,71.329
09/09/2018,23:47:59,71.290
09/09/2018,23:48:09,71.210
09/09/2018,23:48:19,71.250
09/09/2018,23:48:29,71.250
09/09/2018,23:48:39,71.329
09/09/2018,23:48:49,71.290
09/09/2018,23:48:59,71.290
09/09/2018,23:49:09,71.290
09/09/2018,23:49:19,71.329
09/09/2018,23:49:29,71.329
09/09/2018,23:49:39,71.329
09/09/2018,23:49:49,71.329
09/09/2018,23:49:59,71.290
09/09/2018,23:50:09,71.329
09/09/2018,23:50:19,71.290
09/09/2018,23:50:29,71.409
09/09/2018,23:50:39,71.369
09/09/2018,23:50:49,71.250
09/09/2018,23:50:59,71.329
09/09/2018,23:51:09,71.329
